朝霞市岡2丁目12番8号,朝霞台駅
北足立郡伊奈町学園二丁目188番地1,羽貫駅
入間市下藤沢900番地１,小川町駅
入間市大字仏子785-1,武蔵藤沢駅
比企郡小川町大字大塚1152-1,小川町駅
比企郡小川町みどりが丘2-8-1,仏子駅
入間郡越生町越生東2-6-2,越生駅
春日部市大衾496-14,南桜井駅
春日部市南1丁目1番1号,春日部駅
児玉郡上里町大字七本木2272番1,神保原駅
川口市朝日2丁目2番15号,南鳩ヶ谷駅
川口市本町二丁目7番25,川口元郷駅
川越市新宿町5丁目20番1,川越駅
川越市新宿町一丁目17-1,川越駅
川越市的場新町21番地10,的場駅
川越市泉町4番地3,南古谷駅
川越市山田2042-1,川越市駅
比企郡川島町大字中山1373-1,高坂駅
北本市石戸5-14,北本駅
行田市門井町2丁目12番地17,行田駅
行田市藤原町２丁目１番６号,東行田駅
久喜市菖蒲町菖蒲257-1,花崎駅
熊谷市拾六間710番4,籠原駅
熊谷市銀座2丁目245番地,熊谷駅
熊谷市箱田１丁目１４番１号,上熊谷駅
鴻巣市逆川２丁目２１６,鴻巣駅
鴻巣市北新宿字道下通225-1,行田駅
鴻巣市鴻巣950番地1,鴻巣駅
越谷市蒲生茜町25-10,岩槻駅
さいたま市岩槻区西町2丁目5番1号,蒲生駅
さいたま市桜区大久保領家字片町136-1,与野本町駅
さいたま市浦和区上木崎４丁目９番15号,与野駅
さいたま市緑区中尾1086-1,東浦和駅
さいたま市岩槻区美園東2丁目17番地13,岩槻駅
さいたま市北区大成町四丁目416番地1,鉄道博物館駅
さいたま市大宮区上小町1036－1,大宮駅
さいたま市見沼区島町1丁目９番地１,東大宮駅
さいたま市見沼区大字蓮沼506番地,大和田駅
さいたま市北区盆栽町485番地1,土呂駅
さいたま市北区宮原町1－692－1,東宮原駅
坂戸市泉町３丁目2-1,北坂戸駅
坂戸市千代田２丁目６番70号,若葉駅
幸手市幸手154番地1,幸手駅
狭山市水野482-1,入曽駅
狭山市大字北入曽７２０番地の1,入曽駅
狭山市広瀬東ニ丁目41番1号,狭山市駅
志木市本町六丁目22番39号,志木駅
志木市下宗岡二丁目11番27号,志木駅
白岡市新白岡3-50-1,白岡駅
草加市原町二丁目3番67号,新田駅
秩父市上野町805-14,御花畑駅
秩父市大野原680番地,大野原駅
鶴ヶ島市新町四丁目10番地4,一本松駅
鶴ヶ島市大字鶴ヶ丘340番地1,鶴ヶ島駅
鶴ヶ島市富士見一丁目２番１号,若葉駅
鶴ヶ島市大字藤金852番地1,若葉駅
所沢市北原町1415番地1,航空公園駅
所沢市小手指南四丁目33番12,下山口駅
所沢市大字上安松813-3,秋津駅
所沢市美原町4丁目2978番地1,新所沢駅
所沢市東所沢和田3-2-1,東所沢駅
戸田市大字新曽651番地の1,戸田駅
比企郡滑川町月の輪１丁目4番地1,つきのわ駅
新座市野火止7丁目1番25号,新座駅
新座市栗原一丁目14番22号,ひばりヶ丘駅
羽生市南4-255,羽生駅
飯能市東町32番1号,東飯能駅
日高市大字鹿山308-1,高麗川駅
深谷市岡2839－1,岡部駅
深谷市大字上野台3028-1,深谷駅
深谷市国済寺522-3,深谷駅
富士見市羽沢3-31-1,鶴瀬駅
富士見市山室一丁目1313番,鶴瀬駅
ふじみ野市駒林元町二丁目1番20号,ふじみ野駅
ふじみ野市霞ヶ丘１丁目2番27号,上福岡駅
本庄市児玉町児玉2318-1,児玉駅
本庄市児玉町児玉308-3,児玉駅
三郷市中央1丁目4番地20,三郷中央駅
秩父郡皆野町大字皆野1838番地１,親鼻駅
入間郡三芳町大字藤久保855番地403,鶴瀬駅
入間郡毛呂山町中央4丁目10番地9,武州長瀬駅
八潮市大瀬五丁目1番地7,八潮駅
大里郡寄居町大字寄居1443-1,寄居駅
比企郡嵐山町平沢土地区画整理地内３１街区１０,武蔵嵐山駅
比企郡嵐山町むさし台3-27-1,武蔵嵐山駅
蕨市南町1丁目5番15号,蕨駅
安中市原市2丁目1042番9,友部駅
太田市小舞木町204－2,太田駅
桐生市相生町一丁目124番1,下新田駅
桐生市境野町六丁目491番地の1,小俣駅
高崎市飯塚町1150-5,北高崎駅
高崎市井野町1042-3,井野駅
高崎市高関町301-1,高崎駅
富岡市一ノ宮１６８２番,上州一ノ宮駅
吾妻郡中之条町大字中之条1864-1,中之条駅
前橋市関根町一丁目2番地36,群馬総社駅
前橋市前箱田町118番地1,新前橋駅
前橋市日吉町3丁目36番6号,城東駅
前橋市六供町６６３番地１,前橋駅
足利市大橋町1-2026-1,足利駅
足利市大前町字仲田664-1,山前駅
足利市八幡町600-1,野州山辺駅
佐野市浅沼町字富士之宮121,佐野市駅
下都賀郡野木町大字友沼5309,野木駅
古河市松並2－18－10,古河駅
北相馬郡利根町四季の丘1丁目16の1,布佐駅
取手市青柳一丁目8番31号,取手駅
取手市戸頭1282番地1,稲戸井駅
取手市藤代南二丁目16番地2,藤代駅
竜ヶ崎市光順田1753番地,竜ヶ崎駅
竜ヶ崎市小通幸谷町松ノ下201-1,菅野駅
市川市新田二丁目3番1号,佐貫駅
市川市田尻一丁目6番18号,原木中山駅
市川市中国分三丁目19番32号,北国分駅
市原市ちはら台西3丁目4番地,ちはら台駅
印西市牧の原1丁目3番,印西牧の原駅
浦安市東野2丁目29番33号,舞浜駅
"柏市高柳1520番地3,18街区8",高柳駅
柏市南増尾1-3-1,逆井駅
柏市若葉町3番7号,柏駅
柏市大山台２丁目３番,柏の葉キャンパス駅
佐倉市染井野４丁目７番地１,京成臼井駅
白井市桜台1-1-13,千葉ニュータウン中央駅
千葉市美浜区稲毛海岸5丁目3番1号,京成稲毛駅
千葉市緑区おゆみ野南5丁目8番地1,おゆみ野駅
千葉市緑区おゆみ野中央１丁目２０番地１,学園前駅
千葉市美浜区磯辺5丁目1番1号,検見川浜駅
千葉市若葉区みつわ台2-12-6,みつわ台駅
千葉市美浜区稲毛海岸2丁目3番10号,京成稲毛駅
富里市日吉台２丁目１番地１,京成成田駅
流山市大字木402番地（木B70街区2）,南流山駅
成田市はなのき台2丁目25番地1,公津の杜駅
野田市つつみ野1-1-3,愛宕駅
船橋市三咲5丁目33番1号,三咲駅
船橋市三山8丁目22番1号,京成大久保駅
松戸市稔台五丁目8番地の7,みのり台駅
八千代市大和田新田354番地205,八千代中央駅
四街道市大日429番5,四街道駅
昭島市美堀町一丁目1番1号,西武立川駅
稲城市東長沼2544番地の2,稲城長沼駅
稲城市若葉台二丁目4番2,若葉台駅
青梅市今寺5-14-1,小作駅
小平市回田町３４０番地の１,一橋学園駅
立川市若葉町1丁目12番地の1,東大和市駅
八王子市並木町35-1,西八王子駅
東大和市立野三丁目1344番地の1,桜街道駅
相模原市中央区鹿沼台二丁目9番6号,淵野辺駅
相模原市中央区下九沢57番地1,南橋本駅
相模原市中央区光が丘二丁目18番160号,上溝駅
秦野市平沢423番地の1,渋沢駅
平塚市宮松町9番7号,平塚駅
藤沢市片瀬310番地の2,柳小路駅
藤沢市柄沢667番1,藤沢駅
